Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2023-10-26 23:47:38,2023-10-28 00:34:39,UTC-07:00,2023-10-27 16:00:11,2023-10-27 16:48:52,48,Weightlifting,9.6,275.0,184,114,51,15,3,6,7,false,,,
2023-10-22 20:24:29,2023-10-24 00:10:38,UTC-07:00,2023-10-23 18:20:15,2023-10-23 19:06:51,46,Weightlifting,6.0,188.0,146,106,51,27,2,0,0,false,,,
2023-10-19 00:20:29,2023-10-20 00:34:32,UTC-07:00,2023-10-19 16:58:30,2023-10-19 17:43:29,44,Weightlifting,6.2,206.0,133,109,57,37,0,0,0,false,,,
2023-10-16 21:50:04,2023-10-17 23:29:23,UTC-07:00,2023-10-17 16:28:44,2023-10-17 17:14:07,45,Weightlifting,6.0,184.0,145,106,52,30,1,0,0,false,,,
2023-10-16 21:50:04,2023-10-17 23:29:23,UTC-07:00,2023-10-17 08:57:00,2023-10-17 09:17:59,20,Activity,4.8,77.0,128,105,72,18,0,0,0,false,,,
2023-10-15 22:18:36,2023-10-16 21:50:04,UTC-07:00,2023-10-16 19:58:32,2023-10-16 20:34:50,36,Weightlifting,5.0,106.0,148,99,54,7,2,0,0,false,,,
2023-10-14 21:16:32,2023-10-15 22:18:36,UTC-07:00,2023-10-15 09:07:30,2023-10-15 09:43:51,36,Weightlifting,6.0,170.0,159,109,31,39,9,1,0,false,,,
2023-10-11 00:34:59,2023-10-11 23:32:00,UTC-07:00,2023-10-11 15:34:30,2023-10-11 16:04:18,29,Weightlifting,8.8,265.0,188,132,7,57,20,9,7,false,,,
2023-10-08 21:40:11,2023-10-09 22:11:15,UTC-07:00,2023-10-09 18:37:13,2023-10-09 19:19:24,42,Weightlifting,5.3,138.0,135,102,42,27,0,0,0,false,,,
2023-10-06 00:29:53,2023-10-06 22:32:32,UTC-07:00,2023-10-06 12:50:43,2023-10-06 13:19:41,28,Spin,7.1,226.0,148,128,17,36,43,0,0,false,,,
2023-10-04 00:00:00,2023-10-04 21:35:55,UTC-07:00,2023-10-04 18:53:30,2023-10-04 19:30:16,36,Swimming,8.9,313.0,173,134,5,34,40,19,0,true,67.53,3.46,8.16
2023-06-06 00:28:49,2023-06-07 02:48:15,UTC+01:00,2023-06-06 23:10:19,2023-06-07 02:39:40,209,Activity,15.4,1520.0,187,128,9,70,17,3,1,false,,,
2023-05-27 03:46:59,2023-05-28 04:22:34,UTC-04:00,2023-05-27 11:43:01,2023-05-27 13:16:54,93,Activity,11.8,687.0,158,124,24,45,30,0,0,false,,,
2023-05-26 05:08:10,2023-05-27 03:46:59,UTC-04:00,2023-05-26 13:27:32,2023-05-26 13:44:12,16,Running,8.1,179.0,190,143,6,20,35,27,11,false,,,
2023-05-15 02:47:16,2023-05-16 04:27:43,UTC-04:00,2023-05-15 16:43:09,2023-05-15 17:13:10,30,Spin,14.4,450.0,198,163,11,8,2,20,59,false,,,
2023-05-15 02:47:16,2023-05-16 04:27:43,UTC-04:00,2023-05-15 15:29:33,2023-05-15 16:19:26,49,Functional Fitness,6.6,221.0,151,107,32,41,6,0,0,false,,,
2023-05-02 04:20:20,2023-05-03 01:58:34,UTC-04:00,2023-05-02 15:11:51,2023-05-02 15:26:54,15,Spin,6.2,85.0,177,117,48,13,3,10,12,false,,,
2023-05-01 00:00:00,2023-05-02 04:20:20,UTC-04:00,2023-05-01 18:33:36,2023-05-01 19:05:38,32,Running,11.1,356.0,183,144,2,11,35,50,2,true,4509.60,171.46,3.44
2023-04-28 04:37:13,2023-04-29 04:37:13,UTC-04:00,2023-04-29 00:27:21,2023-04-29 02:15:07,107,Activity,12.7,844.0,148,129,0,57,43,0,0,false,,,
2023-04-28 04:37:13,2023-04-29 04:37:13,UTC-04:00,2023-04-28 22:14:47,2023-04-28 23:23:23,68,Activity,14.5,775.0,175,145,0,11,54,33,2,false,,,
2023-04-24 01:33:06,2023-04-25 02:08:27,UTC-04:00,2023-04-24 09:58:15,2023-04-24 10:35:32,37,Running,10.4,343.0,180,135,8,25,28,34,3,true,4772.86,172.57,13.14
2023-04-23 04:33:19,2023-04-24 01:33:06,UTC-04:00,2023-04-23 14:00:00,2023-04-23 14:40:00,40,Weightlifting,4.4,75.0,131,100,53,24,0,0,0,false,,,
2023-04-18 01:47:41,2023-04-19 00:58:13,UTC-04:00,2023-04-18 11:15:00,2023-04-18 11:47:00,32,Spin,13.6,413.0,187,150,6,22,9,24,39,false,,,
2023-04-13 07:02:52,2023-04-14 03:43:54,UTC-04:00,2023-04-14 02:28:00,2023-04-14 03:30:39,62,Activity,12.3,616.0,153,135,0,19,81,0,0,false,,,
2023-04-12 01:53:42,2023-04-13 07:02:52,UTC-04:00,2023-04-12 15:13:18,2023-04-12 15:57:02,43,Weightlifting,6.4,210.0,134,108,57,38,0,0,0,false,,,
2023-04-11 02:21:04,2023-04-12 01:53:42,UTC-04:00,2023-04-11 16:14:44,2023-04-11 17:03:24,48,Weightlifting,6.1,163.0,162,108,65,20,8,3,0,false,,,
2023-04-08 01:14:00,2023-04-10 00:30:00,UTC-04:00,2023-04-08 15:33:05,2023-04-08 16:03:05,29,Activity,11.2,329.0,181,146,10,5,17,58,10,false,,,
2023-04-06 02:34:36,2023-04-07 02:43:17,UTC-04:00,2023-04-07 00:27:45,2023-04-07 01:49:27,81,Activity,11.3,615.0,149,127,10,48,42,0,0,false,,,
2023-04-04 01:41:52,2023-04-05 01:21:13,UTC-04:00,2023-04-04 16:40:00,2023-04-04 17:54:00,74,Weightlifting,4.2,110.0,121,93,43,7,0,0,0,false,,,
2023-04-03 01:54:20,2023-04-04 01:41:52,UTC-04:00,2023-04-03 16:30:00,2023-04-03 17:25:00,55,Weightlifting,4.8,123.0,141,108,39,42,4,0,0,false,,,
2023-03-31 01:46:49,2023-04-01 05:39:58,UTC-04:00,2023-04-01 03:07:22,2023-04-01 03:56:01,48,Activity,9.6,410.0,144,126,5,60,35,0,0,false,,,
2023-03-31 01:46:49,2023-04-01 05:39:58,UTC-04:00,2023-04-01 01:25:30,2023-04-01 02:31:44,66,Activity,9.3,446.0,153,118,16,77,7,0,0,false,,,
2023-03-25 03:47:22,2023-03-26 04:05:19,UTC-05:00,2023-03-26 02:38:54,2023-03-26 03:37:57,59,Activity,10.8,493.0,164,138,0,24,66,10,0,false,,,
2023-03-24 02:12:04,2023-03-25 04:47:22,UTC-04:00,2023-03-25 03:10:53,2023-03-25 04:26:56,76,Activity,13.0,708.0,161,137,2,21,64,13,0,false,,,
2023-03-24 02:12:04,2023-03-25 04:47:22,UTC-04:00,2023-03-24 23:15:55,2023-03-25 02:19:45,183,Activity,16.7,1646.0,164,135,2,28,62,8,0,false,,,
2023-03-23 02:31:16,2023-03-24 02:12:04,UTC-04:00,2023-03-23 20:33:00,2023-03-23 21:18:00,45,Spin,13.4,516.0,180,143,10,17,25,41,7,false,,,
2023-03-16 00:51:27,2023-03-17 02:49:45,UTC-04:00,2023-03-17 01:30:19,2023-03-17 02:22:55,52,Activity,11.2,463.0,170,132,4,15,58,15,0,false,,,
