Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2023-11-15 23:18:58,2023-11-17 01:14:32,UTC-08:00,2023-11-15 23:18:58,2023-11-16 07:44:37,80,14.8,433,505,263,111,59,72,544,65,85,73,false
2023-11-14 22:35:13,2023-11-15 23:18:58,UTC-08:00,2023-11-14 22:35:13,2023-11-15 08:30:47,81,14.7,423,595,357,42,24,172,525,124,71,54,false
2023-11-13 23:39:50,2023-11-14 22:35:13,UTC-08:00,2023-11-14 14:41:24,2023-11-14 16:02:38,12,15.5,74,78,46,19,9,4,600,124,95,,true
2023-11-13 23:39:50,2023-11-14 22:35:13,UTC-08:00,2023-11-13 23:39:50,2023-11-14 07:28:59,67,14.9,391,465,165,95,131,74,585,109,84,59,false
2023-11-13 00:55:36,2023-11-13 23:39:50,UTC-08:00,2023-11-13 00:55:36,2023-11-13 09:20:49,72,14.5,432,505,232,114,86,73,602,127,86,52,false
2023-11-12 02:34:28,2023-11-13 03:55:36,UTC-05:00,2023-11-12 02:34:28,2023-11-12 08:53:13,50,16.1,300,378,177,71,52,78,596,116,81,65,false
2023-11-11 04:02:41,2023-11-12 02:34:28,UTC-05:00,2023-11-11 04:02:41,2023-11-11 10:36:49,57,15.2,313,394,168,94,51,81,547,127,80,48,false
2023-11-09 23:43:53,2023-11-11 01:02:41,UTC-08:00,2023-11-10 10:29:53,2023-11-10 12:03:08,11,15.0,69,93,69,0,0,24,602,127,74,,true
2023-11-09 23:43:53,2023-11-11 01:02:41,UTC-08:00,2023-11-09 23:43:53,2023-11-10 03:30:45,33,13.9,188,224,93,43,52,36,580,104,83,80,false
2023-11-08 23:58:08,2023-11-09 23:43:53,UTC-08:00,2023-11-08 23:58:08,2023-11-09 06:50:35,63,15.4,350,408,183,100,67,58,560,78,86,79,false
2023-11-07 23:04:49,2023-11-08 23:58:08,UTC-08:00,2023-11-07 23:04:49,2023-11-08 08:22:22,79,15.1,470,553,343,67,60,83,592,92,85,77,false
2023-11-06 23:05:22,2023-11-07 23:04:49,UTC-08:00,2023-11-06 23:05:22,2023-11-07 07:51:41,76,14.5,446,524,274,93,79,78,589,113,85,69,false
2023-11-05 23:53:55,2023-11-06 23:05:22,UTC-08:00,2023-11-05 23:53:55,2023-11-06 06:42:28,61,14.8,352,408,180,97,75,56,579,102,86,62,false
